domain,count
futurism.com,4
secrets.tbank.ru,4
rb.ru,4
parksferax5.ru,4
techcrunch.com,3
openai.com,3
businessinsider.com,3
fortune.com,3
pubmed.ncbi.nlm.nih.gov,3
pmc.ncbi.nlm.nih.gov,3
setters.media,3
allo.tochka.com,2
theatlantic.com,2
galaxystore.ru,2
kimi.com,2
try.elama.ru,2
sciencedirect.com,2
vedomosti.ru,2
theconversation.com,2
pnas.org,2
gazeta.ru,2
nytimes.com,2
fontanka.ru,2
adindex.ru,2
nature.com,2
anthropic.com,2
tass.ru,2
seths.blog,2
theguardian.com,2
l.tbank.ru,2
hbr.org,2
tochka.com,2
404media.co,2
engadget.com,1
edition.cnn.com,1
digiday.com,1
stripeeconomics.com,1
media.mit.edu,1
incrussia.ru,1
bg.ru,1
remitly.com,1
finance.yahoo.com,1
almcorp.com,1
profgalloway.com,1
edelman.com,1
reveliolabs.com,1
mumbrella.com.au,1
orator.club,1
netology.ru,1
academy.hubspot.com,1
statsignificant.com,1
earlywarning.com,1
axios.com,1
mixfont.com,1
studyfinds.com,1
web.smartway.today,1
pettymillion.com,1
lancaster.ac.uk,1
vice.com,1
economist.com,1
state-media-influence-llm.github.io,1
a7.ru,1
psypost.org,1
cell.com,1
ynetnews.com,1
ria.ru,1
technologyreview.com,1
amp.rbc.ru,1
finance.mail.ru,1
ya.ru,1
1prime.ru,1
plms.adj.st,1
academic.oup.com,1
youtube.com,1
hh.ru,1
forbes.ru,1
patagonia.com,1
lookaway.com,1
france24.com,1
ember-energy.org,1
timesofindia.indiatimes.com,1
bbc.com,1
fortunebusinessinsights.com,1
chess-bar.com,1
pbs.org,1
kz.kursiv.media,1
podcastatistics.com,1
fastcompany.com,1
cnbc.com,1
news.gallup.com,1
kod.ru,1
cian.ru,1
sravni.ru,1
vkvideo.ru,1
mave.stream,1
wired.com,1
journals.plos.org,1
tok.tochka.com,1
nautil.us,1
sberbank.ru,1
cnews.ru,1
rd.com,1
novos.mk.ru,1
docs.cloud.google.com,1
sostav.ru,1
waseda.jp,1
arxiv.org,1
frontiersin.org,1
wsj.com,1
wciom.ru,1
learn.microsoft.com,1
news.cornell.edu,1
computerra.ru,1
retailboss.co,1
ncbi.nlm.nih.gov,1
midjourney.com,1
internewscast.com,1
archive.org,1
reutersinstitute.politics.ox.ac.uk,1
omnitower.moscow,1
thebiglead.com,1
news.stanford.edu,1
news.mit.edu,1
reuters.com,1
yandex.ru,1
nejm.org,1
ved.vedomosti.ru,1
gwern.net,1
acc.org,1
uber.com,1
tim.blog,1
fox13news.com,1
lamoda.ru,1
washingtonpost.com,1
thecurrencyanalytics.com,1
radar.cloudflare.com,1
corporate.lidl.com.cy,1
lenta.ru,1
tbank.ru,1
artofmanliness.com,1
koreatimes.co.kr,1
jamanetwork.com,1
forbes.com,1
mnenie-red.ru,1
kindredsquared.org.uk,1
kommersant.ru,1
